epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,657.323,0.52075,0.30958,0.83857,0.99116,0.92074,0.93845,0.81601,0.59648,0.32555,0.84528,0.00144956,0.00144956,0.00144956
141,661.721,0.50919,0.30419,0.83678,0.98959,0.921,0.93765,0.81605,0.59737,0.32354,0.84596,0.0014456,0.0014456,0.0014456
142,666.678,0.51995,0.30809,0.83665,0.99078,0.92156,0.9402,0.81443,0.59451,0.32031,0.84569,0.00144164,0.00144164,0.00144164
143,670.873,0.50849,0.30182,0.83495,0.99076,0.92101,0.94209,0.81731,0.61181,0.32173,0.84752,0.00143768,0.00143768,0.00143768
144,675.282,0.50733,0.30009,0.83609,0.99198,0.92115,0.94536,0.82979,0.5853,0.31205,0.84328,0.00143372,0.00143372,0.00143372
145,680.089,0.50264,0.29778,0.82914,0.99319,0.91842,0.94561,0.82485,0.59717,0.31497,0.84522,0.00142976,0.00142976,0.00142976
146,684.21,0.5159,0.3025,0.83666,0.99104,0.9207,0.94494,0.82796,0.59462,0.3126,0.84555,0.0014258,0.0014258,0.0014258
147,688.749,0.5201,0.3046,0.83494,0.99265,0.92112,0.94591,0.82664,0.60204,0.31697,0.84561,0.00142184,0.00142184,0.00142184
148,693.49,0.50595,0.30185,0.83244,0.99061,0.92156,0.94563,0.82463,0.59215,0.31614,0.84426,0.00141788,0.00141788,0.00141788
149,697.682,0.50275,0.30004,0.83199,0.99065,0.92074,0.94593,0.83072,0.58774,0.31492,0.84269,0.00141392,0.00141392,0.00141392
150,702.663,0.52961,0.30441,0.83808,0.99162,0.92066,0.94594,0.82993,0.59086,0.31363,0.84332,0.00140996,0.00140996,0.00140996
151,707.169,0.49558,0.29658,0.83398,0.99096,0.91978,0.94508,0.82715,0.58801,0.3135,0.84285,0.001406,0.001406,0.001406
152,711.565,0.49936,0.29639,0.83848,0.98948,0.92352,0.94657,0.82928,0.59121,0.31448,0.84347,0.00140204,0.00140204,0.00140204
153,716.777,0.49926,0.29494,0.83369,0.99285,0.92237,0.94647,0.82682,0.598,0.31217,0.84439,0.00139808,0.00139808,0.00139808
154,721.188,0.51803,0.30455,0.84141,0.99421,0.92115,0.9471,0.82753,0.59688,0.31557,0.844,0.00139412,0.00139412,0.00139412
155,725.538,0.50062,0.3012,0.83476,0.99252,0.91896,0.94344,0.82454,0.5964,0.32145,0.84504,0.00139016,0.00139016,0.00139016
156,730.667,0.51513,0.30019,0.83595,0.99234,0.91926,0.94428,0.82444,0.59811,0.31649,0.84518,0.0013862,0.0013862,0.0013862
157,734.878,0.51072,0.30473,0.84254,0.99249,0.91972,0.94218,0.8208,0.60059,0.32297,0.847,0.00138224,0.00138224,0.00138224
158,739.156,0.5178,0.30449,0.83453,0.99295,0.92188,0.94649,0.82456,0.59752,0.32149,0.84487,0.00137828,0.00137828,0.00137828
159,744.351,0.50445,0.30157,0.83833,0.9912,0.92162,0.94308,0.82219,0.60375,0.31783,0.8469,0.00137432,0.00137432,0.00137432
160,748.713,0.51512,0.30098,0.83856,0.9922,0.9199,0.9437,0.8226,0.59571,0.32066,0.84513,0.00137036,0.00137036,0.00137036
161,752.983,0.52379,0.3057,0.83394,0.98975,0.92171,0.94046,0.81671,0.60406,0.32071,0.84704,0.0013664,0.0013664,0.0013664
162,758.145,0.51151,0.30098,0.83701,0.99367,0.92135,0.93704,0.81514,0.59157,0.31742,0.8454,0.00136244,0.00136244,0.00136244
163,762.418,0.5137,0.30171,0.83673,0.99266,0.92231,0.94212,0.82506,0.58986,0.31213,0.8445,0.00135848,0.00135848,0.00135848
164,766.808,0.52068,0.3056,0.83403,0.99155,0.92306,0.95,0.83327,0.59258,0.31627,0.84513,0.00135452,0.00135452,0.00135452
165,772.026,0.50915,0.29921,0.83268,0.99135,0.92278,0.95148,0.83471,0.59202,0.31317,0.84496,0.00135056,0.00135056,0.00135056
166,776.427,0.51724,0.30356,0.83901,0.98968,0.92224,0.95174,0.83463,0.60018,0.3152,0.84482,0.0013466,0.0013466,0.0013466
167,780.825,0.55476,0.31724,0.84089,0.99234,0.91953,0.94828,0.83091,0.59956,0.32072,0.84485,0.00134264,0.00134264,0.00134264
168,785.891,0.5341,0.3104,0.83809,0.99118,0.92019,0.94973,0.82951,0.61024,0.32222,0.84566,0.00133868,0.00133868,0.00133868
169,790.013,0.51934,0.30546,0.83795,0.99307,0.92005,0.94869,0.8282,0.59495,0.31725,0.84338,0.00133472,0.00133472,0.00133472
